sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,is_recid,is_violent_recid,type_of_assessment,decile_score,score_text,v_type_of_assessment,v_decile_score,v_score_text,priors_count,event
Male,69,Other,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,69,Other,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,31,Caucasian,0,5,0,0,0,-1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,0,0
Male,34,African-American,0,3,0,0,0,1,1,Risk of Recidivism,3,Low,Risk of Violence,1,Low,0,1
Male,24,African-American,0,4,0,1,4,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,4,0
Male,24,African-American,0,4,0,1,4,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,4,0
Male,24,African-American,0,4,0,1,4,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,4,0
Male,24,African-American,0,4,0,1,4,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,4,0
Male,24,African-American,0,4,0,1,4,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,4,0
Male,23,African-American,0,8,1,0,1,0,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,1,0
Male,43,Other,0,1,0,0,2,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,2,0
Male,44,Other,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,41,Caucasian,0,6,0,0,14,1,0,Risk of Recidivism,6,Medium,Risk of Violence,2,Low,14,0
Male,41,Caucasian,0,6,0,0,14,1,0,Risk of Recidivism,6,Medium,Risk of Violence,2,Low,14,0
Male,43,Other,0,4,0,0,3,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,3,0
Male,43,Other,0,4,0,0,3,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,3,0
Male,43,Other,0,4,0,0,3,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,3,0
Female,39,Caucasian,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,20,Caucasian,0,10,0,1,0,0,0,Risk of Recidivism,10,High,Risk of Violence,9,High,0,0
Male,20,Caucasian,0,10,0,1,0,0,0,Risk of Recidivism,10,High,Risk of Violence,9,High,0,0
Male,20,Caucasian,0,10,0,1,0,0,0,Risk of Recidivism,10,High,Risk of Violence,9,High,0,0
Female,26,Caucasian,0,5,0,0,0,0,0,Risk of Recidivism,5,Medium,Risk of Violence,3,Low,0,0
Female,26,Caucasian,0,5,0,0,0,0,0,Risk of Recidivism,5,Medium,Risk of Violence,3,Low,0,0
Female,26,Caucasian,0,5,0,0,0,0,0,Risk of Recidivism,5,Medium,Risk of Violence,3,Low,0,0
Male,21,Caucasian,0,3,0,0,1,1,1,Risk of Recidivism,3,Low,Risk of Violence,5,Medium,1,1
Male,27,Caucasian,0,4,0,0,0,0,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,0,0
Male,23,African-American,0,6,0,0,3,1,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,3,0
Female,37,Caucasian,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,22,Caucasian,0,3,0,0,0,0,0,Risk of Recidivism,3,Low,Risk of Violence,5,Medium,0,0
Male,41,African-American,0,4,0,0,0,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,0,0
Female,47,Caucasian,0,1,0,0,1,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,0
